Name,Set,Type,Numbered,Team
Paul Kariya,1994-95 Finest Refractor #7,Parallel,,Mighty Ducks
Jeremy Roenick,1994-95 Flair Center Spotlight #10,Insert,,Blackhawks
Sergei Fedorov,1994-95 Flair Center Spotlight #2,Insert,,Red Wings
Eric Lindros,1994-95 Flair Center Spotlight #7,Insert,,Flyers
Mark Messier,1994-95 Flair Center Spotlight #8,Insert,,Rangers
Mike Modano,1994-95 Flair Center Spotlight #9,Insert,,Stars
Pavel Bure,1994-95 Flair Hot Numbers #1,Insert,,Canucks
Steve Yzerman,1994-95 Flair Hot Numbers #10,Insert,,Red Wings
Dominik Hasek,1994-95 Flair Hot Numbers #3,Insert,,Sabres
Adam Oates,1994-95 Flair Hot Numbers #8,Insert,,Bruins
Alexei Yashin,1994-95 Flair Scoring Power #10,Insert,,Senators
Sergei Fedorov,1994-95 Flair Scoring Power #3,Insert,,Red Wings
Brian Leetch,1994-95 Flair Scoring Power #5,Insert,,Rangers
Alexander Mogilny,1994-95 Flair Scoring Power #8,Insert,,Sabres
Jeremy Roenick,1994-95 Flair Scoring Power #9,Insert,,Blackhawks
Jason Arnott,1994-95 Fleer Franchise Futures #1,Insert,,Oilers
Sergei Zubov,1994-95 Fleer Franchise Futures #10,Insert,,Rangers
Rob Blake,1994-95 Fleer Franchise Futures #2,Insert,,Kings
Adam Graves,1994-95 Fleer Franchise Futures #3,Insert,,Rangers
Mikael Renberg,1994-95 Fleer Franchise Futures #7,Insert,,Flyers
Alexei Yashin,1994-95 Fleer Franchise Futures #9,Insert,,Senators
Wayne Gretzky,1994-95 Fleer Headliner #4,Insert,,Kings
Brian Leetch,1994-95 Fleer Headliner #5,Insert,,Rangers
Eric Lindros,1994-95 Fleer Headliner #6,Insert,,Flyers
Ed Belfour,1994-95 Fleer Netminder #1,Insert,,Blackhawks
John Vanbiesbrouck,1994-95 Fleer Netminder #10,Insert,,Panthers
Martin Brodeur,1994-95 Fleer Netminder #2,Insert,,Devils
Dominik Hasek,1994-95 Fleer Netminder #3,Insert,,Sabres
Curtis Joseph,1994-95 Fleer Netminder #5,Insert,,Blues
Mike Richter,1994-95 Fleer Netminder #8,Insert,,Rangers
Peter Forsberg,1994-95 Fleer Rookie Sensation #2,Insert,,Nordiques
Paul Kariya,1994-95 Fleer Rookie Sensation #5,Insert,,Mighty Ducks
John Vanbiesbrouck,1994-95 Leaf Crease Patrol #5,Insert,,Panthers
Mike Richter,1994-95 Leaf Crease Patrol #8,Insert,,Rangers
Sergei Fedorov,1994-95 Leaf Fire on Ice #1,Insert,,Red Wings
Paul Kariya,1994-95 Leaf Limited Gold #5,Insert,2011/2500,Mighty Ducks
Jeremy Roenick,1994-95 Leaf Limited Inserts #5,Insert,,Blackhawks
Paul Kariya,1994-95 Leaf Phenoms #5,Insert,,Mighty Ducks
Paul Kariya,1994-95 O-Pee-Chee Premier Special Effects #405,Parallel,,Mighty Ducks
Dominik Hasek,1994-95 Parkhurst Vintage #V1,Insert,,Sabres
Mario Lemieux,1994-95 Parkhurst You Crash the Game Gold #G18,Insert,,Penguins
Teemu Selanne,1994-95 Pinnacle Gamers #GR1,Insert,,Jets
Brendan Shanahan,1994-95 Pinnacle Gamers #GR10,Insert,,Blues
Wendel Clark,1994-95 Pinnacle Gamers #GR13,Insert,,Nordiques
Pavel Bure,1994-95 Pinnacle Gamers #GR4,Insert,,Canucks
Jaromir Jagr,1994-95 Pinnacle Gamers #GR5,Insert,,Penguins
Mike Richter,1994-95 Pinnacle Goaltending Greats #GT2,Insert,,Rangers
Chris Pronger,1994-95 Pinnacle Rink Collection #11,Parallel,,Whalers
Martin Brodeur,1994-95 Pinnacle Rink Collection #145,Parallel,,Devils
Alex Zhamnov,1994-95 Pinnacle Rink Collection #147,Parallel,,Jets
Sergei Fedorov,1994-95 Pinnacle Rink Collection #150,Parallel,,Red Wings
Jeremy Roenick,1994-95 Pinnacle Rink Collection #165,Parallel,,Blackhawks
Dave Andreychuk,1994-95 Pinnacle Rink Collection #5,Parallel,,Maple Leafs
Mark Recchi,1994-95 Pinnacle Rink Collection #53,Parallel,,Flyers
Ron Francis,1994-95 Pinnacle Rink Collection #72,Parallel,,Penguins
Scott Niedermayer,1994-95 Pinnacle Rink Collection #75,Parallel,,Devils
Pierre Turgeon,1994-95 Pinnacle Rink Collection #78,Parallel,,Islanders
Rob Blake,1994-95 Pinnacle Rink Collection #9,Parallel,,Kings
Joe Nieuwendyk,1994-95 Pinnacle Rink Collection #90,Parallel,,Flames
Jaromir Jagr,1994-95 Pinnacle Rink Collection #98,Parallel,,Penguins
Jason Arnott,1994-95 Pinnacle Rink Collection Ice Breakers #463,Parallel,,Oilers
Brian Leetch,1994-95 Pinnacle World Edition #WE15,Insert,,Rangers
Alexei Yashin,1994-95 Pinnacle World Edition #WE17,Insert,,Senators
Jeremy Roenick,1994-95 Pinnacle World Edition #WE3,Insert,,Blackhawks
Jaromir Jagr,1994-95 Score 90 Plus Club #9,Insert,,Penguins
Paul Kariya,1994-95 Score Canadian Team #CT1,Insert,,Mighty Ducks
Luc Robitaille,1994-95 Score Dream Team #DT10,Insert,,Kings
Brian Leetch,1994-95 Score Dream Team #DT4,Insert,,Rangers
Brett Hull,1994-95 Score Gold Line #100,Parallel,,Blues
Steve Yzerman,1994-95 Score Gold Line #150,Parallel,,Red Wings
Teemu Selanne,1994-95 Score Gold Line #178,Parallel,,Jets
Mike Modano,1994-95 Score Gold Line #188,Parallel,,Stars
Alexander Mogilny,1994-95 Score Gold Line #200,Parallel,,Sabres
Chris Pronger,1994-95 Score Gold Line #252,Parallel,,Whalers
Theoren Fleury,1994-95 Score Gold Line #69,Parallel,,Flames
Paul Kariya,1994-95 Score Top Rookie #TR1,Insert,,Mighty Ducks
Peter Forsberg,1994-95 Score Top Rookie #TR2,Insert,,Nordiques
Scott Niedermayer,1994-95 Select Certified Gold #101,Parallel,,Devils
Sergei Zubov,1994-95 Select Certified Gold #14,Parallel,,Rangers
Keith Primeau,1994-95 Select Certified Gold #15,Parallel,,Red Wings
Scott Stevens,1994-95 Select Certified Gold #82,Parallel,,Devils
Scott Stevens,1994-95 Select First Line #FL8,Insert,,Devils
Paul Kariya,1994-95 Select Youth Explosion #YE5,Insert,,Mighty Ducks
Jarome Iginla,1994-95 SP #181,Base,,Flames
Paul Kariya,1994-95 SP Die-Cut #1,Parallel,,Mighty Ducks
Brendan Shanahan,1994-95 SP Die-Cut #101,Parallel,,Blues
Theoren Fleury,1994-95 SP Die-Cut #17,Parallel,,Flames
Chris Chelios,1994-95 SP Die-Cut #23,Parallel,,Blackhawks
Mike Modano,1994-95 SP Die-Cut #28,Parallel,,Stars
Jason Arnott,1994-95 SP Die-Cut #40,Parallel,,Oilers
Chris Pronger,1994-95 SP Die-Cut #48,Parallel,,Whalers
Mark Messier,1994-95 SP Die-Cut #73,Parallel,,Rangers
Brian Leetch,1994-95 SP Die-Cut #74,Parallel,,Rangers
Sergei Zubov,1994-95 SP Die-Cut #78,Parallel,,Rangers
Alexei Yashin,1994-95 SP Die-Cut #79,Parallel,,Senators
Owen Nolan,1994-95 SP Die-Cut #95,Parallel,,Nordiques
Paul Kariya,1994-95 SP Premier SP #1,Insert,,Mighty Ducks
Peter Forsberg,1994-95 SP Premier SP #2,Insert,,Nordiques
Mark Messier,1994-95 SP Premier SP #28,Insert,,Rangers
Brett Hull,1994-95 SP Premier SP #29,Insert,,Blues
Mark Messier,1994-95 SP Premier SP Die-Cut #28,Insert,,Rangers
Mark Messier,1994-95 Stadium Club Finest Insert #3,Insert,,Rangers
Sergei Fedorov,1994-95 Stadium Club Finest Insert #6,Insert,,Red Wings
Brian Leetch,1994-95 Stadium Club Finest Insert #7,Insert,,Rangers
Ray Bourque,1994-95 Stadium Club Finest Insert #8,Insert,,Bruins
Dominik Hasek,1994-95 Ultra Premier Pad Men #1,Insert,,Sabres
Arturs Irbe,1994-95 Ultra Premier Pad Men #2,Insert,,Sharks
Curtis Joseph,1994-95 Ultra Premier Pad Men #3,Insert,,Blues
Mike Richter,1994-95 Ultra Premier Pad Men #5,Insert,,Rangers
Patrick Roy,1994-95 Ultra Premier Pad Men #6,Insert,,Canadiens
Sergei Fedorov,1994-95 Ultra Premier Pivot #2,Insert,,Red Wings
Mark Messier,1994-95 Ultra Premier Pivot #7,Insert,,Rangers
Mike Modano,1994-95 Ultra Premier Pivot #8,Insert,,Stars
Paul Kariya,1994-95 Ultra Prospect #3,Insert,,Mighty Ducks
Cam Neely,1994-95 Ultra Red Light Specials #6,Insert,,Bruins
Pavel Bure,1994-95 Ultra Speed Merchant #1,Insert,,Canucks
Sergei Fedorov,1994-95 Ultra Speed Merchant #3,Insert,,Red Wings
Mike Modano,1994-95 Ultra Speed Merchant #7,Insert,,Stars
Jeremy Roenick,1994-95 Ultra Speed Merchant #9,Insert,,Blackhawks
Jeremy Roenick,1994-95 Upper Deck Ice Gallery #IG3,Insert,,Blackhawks
Brendan Shanahan,1994-95 Upper Deck Ice Gallery #IG4,Insert,,Blues
Scott Stevens,1994-95 Upper Deck Ice Gallery #IG5,Insert,,Devils
Alexander Mogilny,1994-95 Upper Deck SP Die-Cut #SP-10,Insert,,Sabres
Theoren Fleury,1994-95 Upper Deck SP Die-Cut #SP-11,Insert,,Flames
Chris Chelios,1994-95 Upper Deck SP Die-Cut #SP-16,Insert,,Blackhawks
Rob Niedermayer,1994-95 Upper Deck SP Die-Cut #SP-30,Insert,,Panthers
Vincent Damphousse,1994-95 Upper Deck SP Die-Cut #SP-39,Insert,,Canadiens
Kevin Stevens,1994-95 Upper Deck SP Die-Cut #SP-62,Insert,,Penguins
Brett Hull,1994-95 Upper Deck SP Die-Cut #SP-66,Insert,,Blues
Brendan Shanahan,1994-95 Upper Deck SP Die-Cut #SP-69,Insert,,Blues
Paul Kariya,1995 Stadium Club Members Only Box Set #46,Base,,Mighty Ducks
Peter Forsberg,1995-96 Bowman Bowman�s Best Refractor #BB1,Insert,,Avalanche
Sergei Fedorov,1995-96 Bowman Bowman�s Best Refractor #BB12,Insert,,Red Wings
Brian Leetch,1995-96 Bowman Bowman�s Best Refractor #BB14,Insert,,Rangers
Paul Kariya,1995-96 Bowman Bowman�s Best Refractor #BB15,Insert,,Mighty Ducks
Daniel Alfredsson,1995-96 Bowman Bowman�s Best Refractor #BB16,Insert,,Senators
Eric Daze,1995-96 Bowman Bowman�s Best Refractor #BB18,Insert,,Blackhawks
Jaromir Jagr,1995-96 Bowman Bowman�s Best Refractor #BB7,Insert,,Penguins
Daniel Alfredsson,1995-96 Bowman Foil #110,Parallel,,Senators
Alex Zhamnov,1995-96 Bowman Foil #147,Parallel,,Jets
Al MacInnis,1995-96 Bowman Foil #16,Parallel,,Blues
Cam Neely,1995-96 Bowman Foil #17,Parallel,,Bruins
Doug Gilmour,1995-96 Bowman Foil #18,Parallel,,Maple Leafs
Ray Bourque,1995-96 Bowman Foil #2,Parallel,,Bruins
Luc Robitaille,1995-96 Bowman Foil #23,Parallel,,Rangers
Brendan Shanahan,1995-96 Bowman Foil #28,Parallel,,Whalers
Ron Francis,1995-96 Bowman Foil #31,Parallel,,Penguins
Brett Hull,1995-96 Bowman Foil #43,Parallel,,Blues
Adam Oates,1995-96 Bowman Foil #44,Parallel,,Bruins
Mats Sundin,1995-96 Bowman Foil #49,Parallel,,Maple Leafs
Alexander Mogilny,1995-96 Bowman Foil #5,Parallel,,Canucks
Mark Recchi,1995-96 Bowman Foil #51,Parallel,,Canadiens
Theoren Fleury,1995-96 Bowman Foil #52,Parallel,,Flames
Peter Bondra,1995-96 Bowman Foil #55,Parallel,,Capitals
Pierre Turgeon,1995-96 Bowman Foil #6,Parallel,,Canadiens
Dave Andreychuk,1995-96 Bowman Foil #7,Parallel,,Maple Leafs
Paul Kariya,1995-96 Bowman Foil #90,Parallel,,Mighty Ducks
Theoren Fleury,1995-96 Collector�s Choice Crash the Game Bonus Silver #C11,Insert,,Flames
Sergei Fedorov,1995-96 Collector�s Choice Crash the Game Bonus Silver #C2,Insert,,Red Wings
Mario Lemieux,1995-96 Collector�s Choice Crash the Game Bonus Silver #C25,Insert,,Penguins
Mark Messier,1995-96 Collector�s Choice Crash the Game Bonus Silver #C6,Insert,,Rangers
Brett Hull,1995-96 Collector�s Choice Crash the Game Silver  (March 24) #C5,Insert,,Blues
Mario Lemieux,1995-96 Collector�s Choice Crash the Game Silver Set #C25,Insert,,Penguins
Jaromir Jagr,1995-96 Collector�s Choice Crash the Game Silver Set #C7,Insert,,Penguins
Mike Vernon,1995-96 Collector�s Choice Platinum Players Club #100,Parallel,,Red Wings
Cam Neely,1995-96 Collector�s Choice Platinum Players Club #102,Parallel,,Bruins
Mark Recchi,1995-96 Collector�s Choice Platinum Players Club #108,Parallel,,Canadiens
Luc Robitaille,1995-96 Collector�s Choice Platinum Players Club #164,Parallel,,Penguins
Paul Coffey,1995-96 Collector�s Choice Platinum Players Club #18,Parallel,,Red Wings
Scott Stevens,1995-96 Collector�s Choice Platinum Players Club #223,Parallel,,Devils
Chris Pronger,1995-96 Collector�s Choice Platinum Players Club #232,Parallel,,Whalers
Scott Niedermayer,1995-96 Collector�s Choice Platinum Players Club #3,Parallel,,Devils
Al MacInnis,1995-96 Collector�s Choice Platinum Players Club #313,Parallel,,Blues
Paul Kariya,1995-96 Collector�s Choice Platinum Players Club #370,Parallel,,Mighty Ducks
Mark Recchi,1995-96 Collector�s Choice Players Club #108,Parallel,,Canadiens
Ray Bourque,1995-96 Collector�s Choice Players Club #216 ,Parallel,,Bruins
Scott Stevens,1995-96 Collector�s Choice Players Club #223,Parallel,,Devils
Peter Forsberg,1995-96 Collector�s Choice Players Club #26,Parallel,,Nordiques
Joe Sakic,1995-96 Collector�s Choice Players Club #288,Parallel,,Nordiques
Doug Gilmour,1995-96 Collector�s Choice Players Club #359,Parallel,,Maple Leafs
Joe Sakic,1995-96 Collector�s Choice Players Club #362,Parallel,,Nordiques
Chris Chelios,1995-96 Collector�s Choice Players Club #37,Parallel,,Blackhawks
Jaromir Jagr,1995-96 Collector�s Choice Players Club #378,Parallel,,Penguins
Peter Forsberg,1995-96 Collector�s Choice Players Club #391,Parallel,,Nordiques
Mats Sundin,1995-96 Collector�s Choice Players Club #90,Parallel,,Maple Leafs
Patrick Roy,1995-96 Collector�s Choice Players Club #95,Parallel,,Canadiens
Daniel Alfredsson,1995-96 Collector�s Choice Young Guns #406,Base,,Senators
Mike Vernon,1995-96 Donruss Between the Pipes #3,Insert,,Red Wings
Patrick Roy,1995-96 Donruss Between the Pipes #7,Insert,,Canadiens
Peter Forsberg/Eric Lindros/Mario Lemieux,1995-96 Donruss Dominators #1,Insert,3602/5000,Avalanche/Flyers/Penguins
Ray Bourque/Sergei Zubov/Brian Leetch,1995-96 Donruss Dominators #3,Insert,1130/5000,Bruins/Penguins/Rangers
Paul Kariya,1995-96 Donruss Elite Cutting Edge #5,Insert,0557/2500,Mighty Ducks
Jason Arnott,1995-96 Donruss Elite Die-Cut #101,Parallel,,Oilers
Luc Robitaille,1995-96 Donruss Elite Die-Cut #105,Parallel,,Rangers
Ray Bourque,1995-96 Donruss Elite Die-Cut #9,Parallel,,Bruins
Brian Leetch,1995-96 Donruss Elite Die-Cut #98,Parallel,,Rangers
Ed Belfour,1995-96 Donruss Elite Painted Warriors #4,Insert,2382/2500,Blackhawks
Daniel Alfredsson,1995-96 Donruss Elite Rookies #3,Insert,0153/5000,Senators
Paul Kariya,1995-96 Donruss Elite Series #6,Insert,05255/10000,Mighty Ducks
Brett Hull,1995-96 Donruss Kellogg�s,Base,,Blues
Jaromir Jagr,1995-96 Donruss Marksmen #5,Insert,,Penguins
Peter Forsberg,1995-96 Donruss Rookie Team #2,Insert,,Nordiques
Paul Kariya,1995-96 Donruss Rookie Team #3,Insert,,Mighty Ducks
Eric Daze,1995-96 E-Motion GeneratioNext #2,Insert,,Blackhawks
Tommy Salo,1995-96 E-Motion GeneratioNext #5,Insert,,Islanders
Todd Bertuzzi,1995-96 E-Motion GeneratioNext #8,Insert,,Islanders
Keith Primeau,1995-96 E-Motion Ntense Power #2,Insert,,Red Wings
Eric Lindros,1995-96 E-Motion Ntense Power #4,Insert,,Flyers
Mikael Renberg,1995-96 E-Motion Ntense Power #5,Insert,,Flyers
Owen Nolan,1995-96 E-Motion Ntense Power #6,Insert,,Avalanche
Theoren Fleury,1995-96 E-motion Xcited #1,Insert,,Flames
Paul Kariya,1995-96 E-motion Xcited #15,Insert,,Mighty Ducks
Pavel Bure,1995-96 E-motion Xcited #16,Insert,,Canucks
Sergei Fedorov,1995-96 E-Motion Xcited #4,Insert,,Red Wings
Mats Sundin,1995-96 Fleer Metal #147,Base,,Maple Leafs
Teemu Selanne,1995-96 Fleer Metal #165,Base,,Jets
Daniel Alfredsson,1995-96 Fleer Metal #169,Base,,Senators
Paul Kariya,1995-96 Fleer Metal #2,Base,,Mighty Ducks
Chris Chelios,1995-96 Fleer Metal #24,Base,,Blackhawks
Jeremy Roenick,1995-96 Fleer Metal #28,Base,,Blackhawks
Peter Forsberg,1995-96 Fleer Metal #32,Base,,Avalanche
Martin Brodeur,1995-96 Fleer Metal #81,Base,,Devils
Cam Neely,1995-96 Fleer Metal #9,Base,,Bruins
Adam Oates,1995-96 Fleer Metal Heavy Metal #11,Insert,,Bruins
Theoren Fleury,1995-96 Fleer Metal Heavy Metal #3,Insert,,Flames
Brian Leetch,1995-96 Fleer Metal Heavy Metal #8,Insert,,Rangers
Saku Koivu,1995-96 Fleer Metal International Steel #10,Insert,,Canadiens
Alexander Mogilny,1995-96 Fleer Metal International Steel #15,Insert,,Canucks
Jeremy Roenick,1995-96 Fleer Metal International Steel #17,Insert,,Blackhawks
Chris Chelios,1995-96 Fleer Metal International Steel #2,Insert,,Blackhawks
Sergei Fedorov,1995-96 Fleer Metal International Steel #3,Insert,,Red Wings
Roman Hamrlik,1995-96 Fleer Metal International Steel #6,Insert,,Lightning
Brett Hull,1995-96 Fleer Metal International Steel #8,Insert,,Blues
Ed Belfour,1995-96 Fleer Metal Iron Warriors #2,Insert,,Blackhawks
John LeClair,1995-96 Fleer Metal Iron Warriors #5,Insert,,Flyers
Mark Messier,1995-96 Fleer Metal Iron Warriors #8,Insert,,Rangers
Sergei Zubov,1995-96 Fleer Metal Metal Winners #8,Insert,,Penguins
Mats Sundin,1995-96 Leaf Fire on Ice #8,Insert,09348/10000,Maple Leafs
Mario Lemieux,1995-96 Leaf Freeze Frame #7,Insert,00291/10000,Penguins
Ray Bourque/Brian Leetch,1995-96 Leaf Gold Leaf Stars #3,Insert,4401/5000,Bruins/Rangers
Mario Lemieux,1995-96 Leaf Lemieux�s Best #8,Insert,,Penguins
Brett Hull,1995-96 Leaf Limited #107,Base,,Blues
Mats Sundin,1995-96 Leaf Limited #120,Base,,Maple Leafs
Ron Francis,1995-96 Leaf Limited #23,Base,,Penguins
Rob Niedermayer,1995-96 Leaf Limited #35,Base,,Panthers
Sergei Fedorov,1995-96 Leaf Limited #49,Base,,Red Wings
Mike Modano,1995-96 Leaf Limited #51,Base,,Stars
Joe Nieuwendyk,1995-96 Leaf Limited #56,Base,,Flames
Theoren Fleury,1995-96 Leaf Limited #6,Base,,Flames
Rob Blake,1995-96 Leaf Limited #71,Base,,Kings
Doug Gilmour,1995-96 Leaf Limited #72,Base,,Maple Leafs
Sergei Zubov,1995-96 Leaf Limited #74,Base,,Penguins
Mark Messier,1995-96 Leaf Limited #75,Base,,Rangers
Jeremy Roenick,1995-96 Leaf Limited #80,Base,,Blackhawks
Cam Neely,1995-96 Leaf Limited #81,Base,,Bruins
Alexander Mogilny,1995-96 Leaf Limited #83,Base,,Canucks
John LeClair,1995-96 Leaf Limited #85,Base,,Flyers
Paul Kariya,1995-96 Leaf Limited #9,Base,,Mighty Ducks
Luc Robitaille,1995-96 Leaf Limited #91,Base,,Rangers
Brendan Shanahan,1995-96 Leaf Limited #94,Base,,Whalers
Eric Lindros,1995-96 Leaf Limited #99,Base,,Flyers
Daniel Alfredsson,1995-96 Leaf Limited Rookie Phenoms #2,Insert,2958/5000,Senators
Saku Koivu,1995-96 Leaf Limited Rookie Phenoms #9,Insert,4464/5000,Canadiens
Jaromir Jagr,1995-96 Leaf Limited Stars of the Game #8,Insert,1578/5000,Penguins
Jaromir Jagr,1995-96 Leaf Limited Stars of the Game #8,Insert,/5000,Penguins
Dominik Hasek,1995-96 Leaf Limited Stick Side #5,Insert,1743/2500,Sabres
Jaromir Jagr,1995-96 Leaf Road to the Cup #3,Insert,1528/5000,Penguins
Mario Lemieux,1995-96 NHL Cool Trade Donruss Elite #4,Base,,Penguins
Brett Hull,1995-96 NHL Cool Trade Finest #15,Insert,,Blues
