Name,Set,Type,Numbered,Team
Alexei Yashin,1997-98 Pinnacle Epix Game Orange #E4,Insert,,Senators
Keith Tkachuk,1997-98 Pinnacle Epix Game Orange #E6,Insert,,Coyotes
Teemu Selanne,1997-98 Pinnacle Epix Game Purple #E15,Insert,,Jets
Brett Hull,1997-98 Pinnacle Epix Game Purple #E18,Insert,,Blues
Paul Kariya,1997-98 Pinnacle Epix Game Purple #E19,Insert,,Mighty Ducks
John Vanbiesbrouck,1997-98 Pinnacle Epix Game Purple #E2,Insert,,Panthers
Pavel Bure,1997-98 Pinnacle Epix Game Purple #E21,Insert,,Canucks
John LeClair,1997-98 Pinnacle Epix Game Purple #E23,Insert,,Flyers
Doug Gilmour,1997-98 Pinnacle Epix Game Purple #E24,Insert,,Devils
Alexei Yashin,1997-98 Pinnacle Epix Game Purple #E4,Insert,,Senators
Saku Koivu,1997-98 Pinnacle Epix Moment Orange #E10,Insert,,Canadiens
Felix Potvin,1997-98 Pinnacle Epix Moment Orange #E11,Insert,,Maple Leafs
Sergei Fedorov,1997-98 Pinnacle Epix Moment Orange #E5,Insert,,Red Wings
Teemu Selanne,1997-98 Pinnacle Epix Moment Purple #E15,Insert,,Mighty Ducks
Sergei Fedorov,1997-98 Pinnacle Epix Moment Purple #E5,Insert,,Red Wings
Brendan Shanahan,1997-98 Pinnacle Epix Play Emerald #E16,Insert,,Red Wings
Keith Tkachuk,1997-98 Pinnacle Epix Play Emerald #E6,Insert,,Coyotes
Eric Lindros,1997-98 Pinnacle Epix Play Orange #E13,Insert,,Flyers
Peter Forsberg,1997-98 Pinnacle Epix Play Orange #E14,Insert,,Avalanche
Teemu Selanne,1997-98 Pinnacle Epix Play Orange #E15,Insert,,Mighty Ducks
Brendan Shanahan,1997-98 Pinnacle Epix Play Orange #E16,Insert,,Red Wings
Brett Hull,1997-98 Pinnacle Epix Play Orange #E18,Insert,,Blues
Paul Kariya,1997-98 Pinnacle Epix Play Orange #E19,Insert,,Mighty Ducks
Pavel Bure,1997-98 Pinnacle Epix Play Orange #E21,Insert,,Canucks
John LeClair,1997-98 Pinnacle Epix Play Orange #E23,Insert,,Flyers
Doug Gilmour,1997-98 Pinnacle Epix Play Orange #E24,Insert,,Devils
Eric Lindros,1997-98 Pinnacle Epix Play Purple #E13,Insert,,Flyers
Peter Forsberg,1997-98 Pinnacle Epix Play Purple #E14,Insert,,Avalanche
Teemu Selanne,1997-98 Pinnacle Epix Play Purple #E15,Insert,,Mighty Ducks
Brendan Shanahan,1997-98 Pinnacle Epix Play Purple #E16,Insert,,Red Wings
Curtis Joseph,1997-98 Pinnacle Epix Play Purple #E17,Insert,,Oilers
Brett Hull,1997-98 Pinnacle Epix Play Purple #E18,Insert,,Blues
Paul Kariya,1997-98 Pinnacle Epix Play Purple #E19,Insert,,Mighty Ducks
John LeClair,1997-98 Pinnacle Epix Play Purple #E23,Insert,,Flyers
Joe Sakic,1997-98 Pinnacle Epix Play Purple #E3,Insert,,Avalanche
Peter Forsberg,1997-98 Pinnacle Epix Season Emerald #E14,Insert,,Avalanche
Brett Hull,1997-98 Pinnacle Epix Season Orange #E18,Insert,,Blues
Paul Kariya,1997-98 Pinnacle Epix Season Orange #E19,Insert,,Mighty Ducks
Pavel Bure,1997-98 Pinnacle Epix Season Orange #E21,Insert,,Canucks
Joe Sakic,1997-98 Pinnacle Epix Season Orange #E3,Insert,,Avalanche
Sergei Fedorov,1997-98 Pinnacle Epix Season Orange #E5,Insert,,Red Wings
Keith Tkachuk,1997-98 Pinnacle Epix Season Orange #E6,Insert,,Coyotes
Paul Kariya,1997-98 Pinnacle Epix Season Purple #E19,Insert,,Mighty Ducks
Pavel Bure,1997-98 Pinnacle Epix Season Purple #E21,Insert,,Canucks
Doug Gilmour,1997-98 Pinnacle Epix Season Purple #E24,Insert,,Devils
Alexei Yashin,1997-98 Pinnacle Epix Season Purple #E4,Insert,,Senators
Brendan Shanahan,1997-98 Pinnacle Inside Coaches Collection #1,Parallel,,Red Wings
Paul Kariya,1997-98 Pinnacle Inside Coaches Collection #10,Parallel,,Mighty Ducks
Brett Hull,1997-98 Pinnacle Inside Coaches Collection #12,Insert,,Blues
Mike Modano,1997-98 Pinnacle Inside Coaches Collection #15,Parallel,,Stars
Sergei Fedorov,1997-98 Pinnacle Inside Coaches Collection #42,Parallel,,Red Wings
Keith Tkachuk,1997-98 Pinnacle Inside Coaches Collection #5,Parallel,,Coyotes
Peter Forsberg,1997-98 Pinnacle Inside Coaches Collection #8,Parallel,,Avalanche
Mark Messier,1997-98 Pinnacle Inside Coaches Collection #81,Parallel,,Rangers
Eric Daze,1997-98 Pinnacle Inside Coaches Collection #88,Parallel,,Blackhawks
Chris Chelios,1997-98 Pinnacle Inside Executive Collection #18,Parallel,,Blackhawks
Brian Leetch,1997-98 Pinnacle Inside Executive Collection #20,Parallel,,Rangers
Daniel Alfredsson,1997-98 Pinnacle Inside Executive Collection #26,Parallel,,Senators
Vincent Damphousse,1997-98 Pinnacle Inside Executive Collection #36,Parallel,,Canadiens
Theoren Fleury,1997-98 Pinnacle Inside Executive Collection #40,Parallel,,Flames
Jocelyn Thibault,1997-98 Pinnacle Inside Executive Collection #43,Parallel,,Canadiens
Ron Francis,1997-98 Pinnacle Inside Executive Collection #52,Parallel,,Penguins
Alexei Yashin,1997-98 Pinnacle Inside Executive Collection #57,Parallel,,Senators
John LeClair,1997-98 Pinnacle Inside Executive Collection #58,Parallel,,Flyers
Rob Blake,1997-98 Pinnacle Inside Executive Collection #71,Parallel,,Kings
Doug Gilmour,1997-98 Pinnacle Inside Executive Collection #73,Parallel,,Devils
Peter Forsberg,1997-98 Pinnacle Inside Executive Collection #8,Parallel,,Avalanche
Mike Richter,1997-98 Pinnacle Inside Executive Collection #81,Parallel,,Rangers
Peter Bondra,1997-98 Pinnacle Inside Executive Collection #83,Parallel,,Capitals
Sergei Fedorov,1997-98 Pinnacle Inside Inside Track #13,Insert,,Red Wings
Brendan Shanahan,1997-98 Pinnacle Inside Inside Track #14,Insert,,Red Wings
Mark Messier,1997-98 Pinnacle Inside Inside Track #18,Insert,,Rangers
Brett Hull,1997-98 Pinnacle Inside Inside Track #19,Insert,,Blues
Patrick Roy,1997-98 Pinnacle Inside Inside Track #2,Insert,,Avalanche
Mats Sundin,1997-98 Pinnacle Inside Inside Track #23,Insert,,Maple Leafs
Mike Richter,1997-98 Pinnacle Inside Inside Track #26,Insert,,Rangers
Paul Kariya,1997-98 Pinnacle Inside Inside Track #4,Insert,,Mighty Ducks
Grant Fuhr,1997-98 Pinnacle Inside Stoppers #20,Insert,,Blues
Eric Lindros,1997-98 Pinnacle Mint Bronze #1,Parallel,,Flyers
Paul Kariya,1997-98 Pinnacle Mint Bronze #2,Parallel,,Mighty Ducks
Jaromir Jagr,1997-98 Pinnacle Mint Bronze #22,Parallel,,Penguins
Joe Thornton,1997-98 Pinnacle Mint Bronze #29,Parallel,,Bruins
Peter Forsberg,1997-98 Pinnacle Mint Bronze #3,Parallel,,Avalanche
Teemu Selanne,1997-98 Pinnacle Mint Bronze #7,Parallel,,Mighty Ducks
Eric Lindros,1997-98 Pinnacle Mint Gold #1,Parallel,,Flyers
Brendan Shanahan,1997-98 Pinnacle Mint Gold #6,Parallel,,Red Wings
Dominik Hasek,1997-98 Pinnacle Mint Minternational #5,Insert,,Sabres
Eric Lindros,1997-98 Pinnacle Mint Silver #1,Parallel,,Flyers
Mats Sundin,1997-98 Pinnacle Mint Silver #10,Parallel,,Maple Leafs
Patrick Roy,1997-98 Pinnacle Mint Silver #11,Parallel,,Avalanche
Joe Sakic,1997-98 Pinnacle Mint Silver #12,Parallel,,Avalanche
Mark Messier,1997-98 Pinnacle Mint Silver #13,Parallel,,Canucks
Paul Kariya,1997-98 Pinnacle Mint Silver #2,Parallel,,Mighty Ducks
John LeClair,1997-98 Pinnacle Mint Silver #20,Parallel,,Flyers
Jaromir Jagr,1997-98 Pinnacle Mint Silver #22,Parallel,,Penguins
Joe Thornton,1997-98 Pinnacle Mint Silver #29,Parallel,,Bruins
Teemu Selanne,1997-98 Pinnacle Mint Silver #7,Parallel,,Mighty Ducks
Patrick Marleau,1997-98 Pinnacle Rink Collection #PP12,Parallel,,Sharks
Vinny Prospal,1997-98 Pinnacle Rink Collection #PP19,Parallel,,Flyers
Joe Thornton,1997-98 Pinnacle Rink Collection #PP23,Parallel,,Bruins
Saku Koivu,1997-98 Pinnacle Rink Collection #PP26,Parallel,,Canadiens
Mark Messier,1997-98 Pinnacle Rink Collection #PP27,Parallel,,Canucks
Jeremy Roenick,1997-98 Pinnacle Rink Collection #PP33,Parallel,,Coyotes
Brett Hull,1997-98 Pinnacle Rink Collection #PP35,Parallel,,Blues
Mike Vernon,1997-98 Pinnacle Rink Collection #PP36,Parallel,,Sharks
Doug Gilmour,1997-98 Pinnacle Rink Collection #PP39,Parallel,,Devils
Keith Tkachuk,1997-98 Pinnacle Rink Collection #PP40,Parallel,,Coyotes
Pavel Bure,1997-98 Pinnacle Rink Collection #PP41,Parallel,,Canucks
Geoff Sanderson,1997-98 Pinnacle Rink Collection #PP45,Parallel,,Hurricanes
John LeClair,1997-98 Pinnacle Rink Collection #PP57,Parallel,,Flyers
Trevor Kidd,1997-98 Pinnacle Rink Collection #PP60,Parallel,,Hurricanes
Jason Arnott,1997-98 Pinnacle Rink Collection #PP61,Parallel,,Oilers
Rob Blake,1997-98 Pinnacle Rink Collection #PP64,Parallel,,Kings
Dino Ciccarelli,1997-98 Pinnacle Rink Collection #PP68,Parallel,,Lightning
Peter Forsberg,1997-98 Pinnacle Rink Collection #PP73,Parallel,,Avalanche
Pierre Turgeon,1997-98 Pinnacle Rink Collection #PP75,Parallel,,Blues
Sergei Fedorov,1997-98 Pinnacle Rink Collection #PP77,Parallel,,Red Wings
Brendan Shanahan,1997-98 Pinnacle Rink Collection #PP80,Parallel,,Red Wings
Jamie Storr,1997-98 Pinnacle Rink Collection #PP82,Parallel,,Kings
Jim Carey,1997-98 Pinnacle Rink Collection #PP83,Parallel,,Bruins
Vincent Damphousse,1997-98 Pinnacle Rink Collection #PP85,Parallel,,Canadiens
Teemu Selanne,1997-98 Pinnacle Rink Collection #PP86,Parallel,,Mighty Ducks
Pat Verbeek,1997-98 Pinnacle Totally Certified Platinum Blue #111,Parallel,1786/3099,Stars
Scott Stevens,1997-98 Pinnacle Totally Certified Platinum Blue #115,Parallel,0021/3099,Devils
Theoren Fleury,1997-98 Pinnacle Totally Certified Platinum Blue #42,Parallel,2792/3099,Flames
Adam Oates,1997-98 Pinnacle Totally Certified Platinum Blue #49,Parallel,0387/3099,Capitals
Joe Nieuwendyk,1997-98 Pinnacle Totally Certified Platinum Blue #76,Parallel,1589/3099,Stars
Trevor Linden,1997-98 Pinnacle Totally Certified Platinum Red #104,Base,2543/6199,Canucks
Eric Daze,1997-98 Pinnacle Totally Certified Platinum Red #122,Base,3539/6199,Blackhawks
Jason Arnott,1997-98 Pinnacle Totally Certified Platinum Red #124,Base,1480/6199,Oilers
Claude Lemieux,1997-98 Pinnacle Totally Certified Platinum Red #129,Base,2312/6199,Avalanche
Eric Lindros,1997-98 Pinnacle Totally Certified Platinum Red #31,Parallel,1328/6199,Flyers
Paul Kariya,1997-98 Pinnacle Totally Certified Platinum Red #34,Base,1594/6199,Mighty Ducks
Teemu Selanne,1997-98 Pinnacle Totally Certified Platinum Red #39,Base,0996/6199,Mighty Ducks
Theoren Fleury,1997-98 Pinnacle Totally Certified Platinum Red #42,Base,3327/6199,Flames
Doug Gilmour,1997-98 Pinnacle Totally Certified Platinum Red #51,Base,2643/6199,Devils
Mats Sundin,1997-98 Pinnacle Totally Certified Platinum Red #53,Base,0530/6199,Maple Leafs
Jarome Iginla,1997-98 Pinnacle Totally Certified Platinum Red #55,Base,5690/6199,Flames
Alexander Mogilny,1997-98 Pinnacle Totally Certified Platinum Red #60,Base,0269/6199,Canucks
Pierre Turgeon,1997-98 Pinnacle Totally Certified Platinum Red #62,Base,4732/6199,Blues
Mike Gartner,1997-98 Pinnacle Totally Certified Platinum Red #85,Base,0070/6199,Coyotes
Rod Brind�Amour,1997-98 Pinnacle Totally Certified Platinum Red #93,Base,1125/6199,Flyers
Jeremy Roenick,1997-98 Revolution #108,Base,,Coyotes
Keith Tkachuk,1997-98 Revolution #109,Base,,Coyotes
Peter Bondra,1997-98 Revolution #145,Base,,Capitals
Theoren Fleury,1997-98 Revolution #17,Base,,Flames
Saku Koivu,1997-98 Revolution #71,Base,,Canadiens
Zigmund Palffy,1997-98 Revolution #82,Base,,Islanders
John LeClair,1997-98 Revolution 1998 All-Star Game #15,Insert,,Flyers
Mark Messier,1997-98 Revolution 1998 All-Star Game #19,Insert,,Canucks
Ray Bourque,1997-98 Revolution 1998 All-Star Game #2,Insert,,Bruins
Chris Chelios,1997-98 Revolution 1998 All-Star Game #5,Insert,,Blackhawks
Joe Sakic,1997-98 Revolution 1998 All-Star Game #8,Insert,,Avalanche
Martin Brodeur,1997-98 Revolution Team Checklist #14,Insert,,Devils
Joe Thornton,1997-98 Revolution Team Checklist #2,Insert,,Bruins
Owen Nolan,1997-98 Score Artists Proof #102,Parallel,,Sharks
Vincent Damphousse,1997-98 Score Artists Proof #112,Parallel,,Canadiens
Dave Andreychuk,1997-98 Score Artists Proof #115,Parallel,,Devils
Alexei Yashin,1997-98 Score Artists Proof #116,Parallel,,Senators
Dino Ciccarelli,1997-98 Score Artists Proof #119,Parallel,,Lightning
Pat Verbeek,1997-98 Score Artists Proof #124,Parallel,,Stars
Mark Recchi,1997-98 Score Artists Proof #130,Parallel,,Canadiens
Jaromir Jagr,1997-98 Score Check-It #13,Insert,,Penguins
Felix Potvin,1997-98 Score Net Worth #16,Insert,,Maple Leafs
Mike Modano,1997-98 SP Authentic Icons #137,Insert,,Stars
Scott Stevens,1997-98 SPx #26,Base,,Devils
Daniel Alfredsson,1997-98 SPx #34,Base,,Senators
Jeremy Roenick,1997-98 SPx #39,Base,,Coyotes
Brett Hull,1997-98 SPx #43,Base,,Blues
Joe Sakic,1997-98 SPx Bronze #12,Parallel,,Avalanche
Sergei Fedorov,1997-98 SPx Bronze #15,Parallel,,Red Wings
Teemu Selanne,1997-98 SPx Bronze #2,Parallel,,Mighty Ducks
Jaromir Jagr,1997-98 SPx Bronze #42,Parallel,,Penguins
Mats Sundin,1997-98 SPx Bronze #46,Parallel,,Maple Leafs
Peter Bondra,1997-98 SPx Bronze #50,Parallel,,Capitals
Teemu Selanne,1997-98 Spx Dimension #SPX18,Insert,,Mighty Ducks
Patrick Roy,1997-98 SPx Silver #10,Parallel,,Avalanche
Paul Kariya,1997-98 SPx Steel #1,Parallel,,Mighty Ducks
Joe Sakic,1997-98 SPx Steel #12,Parallel,,Avalanche
Mike Modano,1997-98 SPx Steel #13,Parallel,,Stars
Sergei Fedorov,1997-98 SPx Steel #15,Parallel,,Red Wings
Teemu Selanne,1997-98 SPx Steel #2,Parallel,,Mighty Ducks
Jeremy Roenick,1997-98 SPx Steel #39,Parallel,,Coyotes
Brett Hull,1997-98 SPx Steel #43,Parallel,,Blues
Pavel Bure,1997-98 SPx Steel #47,Parallel,,Canucks
Jarome Iginla,1997-98 SPx Steel #7,Parallel,,Flames
Teemu Selanne,1997-98 Studio Hard Hats #11,Insert,2035/3000,Mighty Ducks
Jarome Iginla,1997-98 Studio Hard Hats #12,Insert,1490/3000,Flames
Saku Koivu,1997-98 Studio Hard Hats #15,Insert,1655/3000,Canadiens
Joe Sakic,1997-98 Studio Hard Hats #17,Insert,1572/3000,Avalanche
Pavel Bure,1997-98 Studio Hard Hats #18,Insert,2177/3000,Canucks
Jaromir Jagr,1997-98 Studio Hard Hats #19,Insert,2039/3000,Penguins
Eric Lindros,1997-98 Studio Hard Hats #2,Insert,1991/3000,Flyers
Paul Kariya,1997-98 Studio Hard Hats #3,Insert,2319/3000,Mighty Ducks
Brendan Shanahan,1997-98 Studio Hard Hats #9,Insert,0382/3000,Red Wings
Paul Kariya,1997-98 Studio Silhouettes #5,Insert,1189/1500,Mighty Ducks
Adam Oates,1997-98 Studio Silver Press Proof #32,Parallel,"/1,000",Capitals
Joe Thornton,1997-98 Studio Silver Press Proof #54,Parallel,"/1,000",Bruins
Daniel Alfredsson,1997-98 Upper Deck 3 Star Selects #T14A,Insert,,Senators
Mats Sundin,1997-98 Upper Deck 3 Star Selects #T14B,Insert,,Maple Leafs
Nicklas Lidstrom,1997-98 Upper Deck 3 Star Selects #T14C,Insert,,Red Wings
Jeremy Roenick,1997-98 Upper Deck 3 Star Selects #T16C,Insert,,Coyotes
Sergei Fedorov,1997-98 Upper Deck 3 Star Selects #T17A,Insert,,Red Wings
Doug Gilmour,1997-98 Upper Deck 3 Star Selects #T18B,Insert,,Devils
Alexander Mogilny,1997-98 Upper Deck 3 Star Selects #T19B,Insert,,Canucks
Eric Lindros,1997-98 Upper Deck 3 Star Selects #T1A,Insert,,Flyers
Chris Chelios,1997-98 Upper Deck 3 Star Selects #T4C,Insert,,Blackhawks
Pavel Bure,1997-98 Upper Deck 3 Star Selects #T5C,Insert,,Canucks
Teemu Selanne,1997-98 Upper Deck All-Star Game Crash the Game Prize #AR4,Insert,,Mighty Ducks
Joe Nieuwendyk,1997-98 Upper Deck Black Diamond Double #16,Parallel,,Stars
Zigmund Palffy,1997-98 Upper Deck Black Diamond Double #18,Parallel,,Islanders
Rob Niedermayer,1997-98 Upper Deck Black Diamond Double #22,Parallel,,Panthers
Bill Guerin,1997-98 Upper Deck Black Diamond Double #38,Parallel,,Oilers
Jere Lehtinen,1997-98 Upper Deck Black Diamond Double #40,Parallel,,Stars
Owen Nolan,1997-98 Upper Deck Black Diamond Double #9,Parallel,,Sharks
Eric Lindros,1997-98 Upper Deck Black Diamond Premium Cut #PC13,Insert,,Flyers
Patrick Roy,1997-98 Upper Deck Black Diamond Premium Cut #PC2,Insert,,Avalanche
Jaromir Jagr,1997-98 Upper Deck Black Diamond Premium Cut #PC20,Insert,,Penguins
John LeClair,1997-98 Upper Deck Black Diamond Premium Cut #PC6,Insert,,Flyers
Keith Tkachuk,1997-98 Upper Deck Black Diamond Premium Cut Double #PC14,Insert,,Coyotes
Teemu Selanne,1997-98 Upper Deck Black Diamond Premium Cut Double #PC15,Insert,,Mighty Ducks
Paul Kariya,1997-98 Upper Deck Black Diamond Premium Cut Double #PC26,Insert,,Mighty Ducks
Brendan Shanahan,1997-98 Upper Deck Black Diamond Premium Cut Double #PC3,Insert,,Red Wings
Mats Sundin,1997-98 Upper Deck Black Diamond Premium Cut Double #PC30,Insert,,Maple Leafs
Joe Sakic,1997-98 Upper Deck Black Diamond Premium Cut Quadruple Horizontal #PC29,Insert,,Avalanche
Patrik Elias,1997-98 Upper Deck Black Diamond Premium Cut Quadruple Horizontal #PC8,Insert,,Devils
Keith Tkachuk,1997-98 Upper Deck Black Diamond Premium Cut Triple #PC14,Insert,,Coyotes
Paul Kariya,1997-98 Upper Deck Black Diamond Triple #14,Parallel,,Mighty Ducks
Theoren Fleury,1997-98 Upper Deck Black Diamond Triple #143,Parallel,,Flames
Adam Graves,1997-98 Upper Deck Black Diamond Triple #2,Parallel,,Rangers
Rob Niedermayer,1997-98 Upper Deck Black Diamond Triple #22,Parallel,,Panthers
Wade Redden,1997-98 Upper Deck Black Diamond Triple #50,Parallel,,Senators
Chris Pronger,1997-98 Upper Deck Black Diamond Triple #83,Parallel,,Blues
Paul Kariya,1997-98 Upper Deck Ice Ice Champions #IC9,Insert,,Mighty Ducks
Keith Tkachuk,1997-98 Upper Deck Ice Lethal Lines #L-3A,Insert,,Coyotes
Daniel Alfredsson,1997-98 Upper Deck Ice Lethal Lines #L-4A,Insert,,Senators
Paul Kariya,1997-98 Upper Deck Ice Lethal Lines #L1-A,Insert,,Mighty Ducks
Brian Leetch,1997-98 Upper Deck Ice Lethal Lines #L10-A,Insert,,Rangers
Jaromir Jagr,1997-98 Upper Deck Ice Lethal Lines #L2-C,Insert,,Penguins
Keith Tkachuk,1997-98 Upper Deck Ice Lethal Lines #L3-A,Insert,,Coyotes
Daniel Alfredsson,1997-98 Upper Deck Ice Lethal Lines #L4-A,Insert,,Senators
Peter Forsberg,1997-98 Upper Deck Ice Lethal Lines #L4-B,Insert,,Avalanche
Mats Sundin,1997-98 Upper Deck Ice Lethal Lines #L4-C,Insert,,Maple Leafs
Jarome Iginla,1997-98 Upper Deck Ice Lethal Lines #L5-C,Insert,,Flames
Sergei Fedorov,1997-98 Upper Deck Ice Lethal Lines #L6-C,Insert,,Red Wings
John LeClair,1997-98 Upper Deck Ice Lethal Lines #L8-A,Insert,,Flyers
Jarome Iginla,1997-98 Upper Deck Ice Parallel #20,Parallel,,Flames
Dino Ciccarelli,1997-98 Upper Deck Ice Parallel #22,Parallel,,Lightning
Joe Thornton,1997-98 Upper Deck Ice Parallel #46,Parallel,,Bruins
Daniel Alfredsson,1997-98 Upper Deck Sixth Sense Masters #SS27,Insert,0110/2000,Senators
Brett Hull,1997-98 Upper Deck Sixth Sense Masters #SS4,Insert,0778/2000,Blues
Mark Messier,1997-98 Upper Deck Smooth Grooves #SG11,Insert,,Canucks
Jarome Iginla,1997-98 Upper Deck Smooth Grooves #SG12,Insert,,Flames
Peter Forsberg,1997-98 Upper Deck Smooth Grooves #SG21,Insert,,Avalanche
Brian Leetch,1997-98 Upper Deck Smooth Grooves #SG22,Insert,,Rangers
Alexei Yashin,1997-98 Upper Deck Smooth Grooves #SG23,Insert,,Senators
Owen Nolan,1997-98 Upper Deck Smooth Grooves #SG24,Insert,,Sharks
Nicklas Lidstrom,1997-98 Upper Deck Smooth Grooves #SG45,Insert,,Red Wings
Pavel Bure,1997-98 Upper Deck Smooth Grooves #SG58,Insert,,Canucks
Joe Thornton,1997-98 Upper Deck Smooth Grooves #SG6,Insert,,Bruins
Chris Chelios,1997-98 Upper Deck Smooth Grooves #SG7,Insert,,Blackhawks
Paul Kariya,1997-98 Upper Deck Smooth Grooves #SG9,Insert,,Mighty Ducks
Paul Kariya,1997-98 Upper Deck The Specialists #S9,Insert,"/4,000",Mighty Ducks
Teemu Selanne,1997-98 Zenith Z-Team #1,Insert,,Mighty Ducks
Joe Thornton,1997-98 Zenith Z-Team #10,Insert,,Bruins
Martin Brodeur,1997-98 Zenith Z-Team #8,Insert,,Devils
Mark Parrish,1998-99 Bowman�s Best Refractor #120,Parallel,352/400,Panthers
Jeremy Roenick,1998-99 Bowman�s Best Refractor #55,Parallel,166/400,Coyotes
Ray Bourque,1998-99 Bowman�s Best Scotty Bowmans Best Refractor #SB10,Insert,092/200,Bruins
Paul Kariya,1998-99 Bowman�s Best Scotty Bowmans Best Refractor #SB9,Insert,150/200,Mighty Ducks
Martin Brodeur,1998-99 Crown Royale #78,Base,,Devils
Brendan Shanahan,1998-99 Crown Royale Master Performers #10,Insert,,Red Wings
Peter Forsberg,1998-99 Crown Royale Master Performers #4,Insert,,Avalanche
Brett Hull,1998-99 Crown Royale Pillars of the Game #10,Insert,,Stars
Chris Chelios,1998-99 Crown Royale Pillars of the Game #5,Insert,,Blackhawks
Joe Sakic,1998-99 Crown Royale Pillars of the Game #8,Insert,,Avalanche
Paul Kariya,1998-99 Finest Centurions #C10,Insert,298/500,Mighty Ducks
Joe Thornton,1998-99 Finest Centurions #C17,Insert,235/500,Bruins
Daniel Alfredsson,1998-99 Finest Centurions #C19,Insert,173/500,Senators
Mike Johnson,1998-99 Finest No-Protector Refractor #37,Parallel,,Maple Leafs
Doug Gilmour,1998-99 Finest No-Protector Refractor #54,Parallel,,Blackhawks
Trevor Kidd,1998-99 Finest No-Protector Refractor #85,Parallel,,Hurricanes
Alexei Yashin,1998-99 Finest Red Lighters #R12,Insert,,Senators
Teemu Selanne,1998-99 Finest Red Lighters #R8,Insert,,Mighty Ducks
Brendan Shanahan,1998-99 Finest Red Lighters Refractor #R10,Insert,,Red Wings
Paul Kariya,1998-99 Finest Red Lighters Refractor #R3,Insert,,Mighty Ducks
Paul Kariya,1998-99 Finest Red Lighters Refractor #R3,Insert,,Mighty Ducks
Alex Zhamnov,1998-99 Finest Refractor #134,Parallel,,Blackhawks
Jason Allison,1998-99 Finest Refractor #141,Parallel,,Bruins
Jeff Friesen,1998-99 Finest Refractor #32,Parallel,,Sharks
Dino Ciccarelli,1998-99 Finest Refractor #5,Parallel,,Panthers
Michael Peca,1998-99 Finest Refractor #92,Parallel,,Sabres
Brian Leetch,1998-99 O-Pee-Chee Chrome Board Members #B3,Insert,,Rangers
Wade Redden,1998-99 O-Pee-Chee Chrome Board Members Refractor #B15,Insert,,Senators
Chris Chelios,1998-99 O-Pee-Chee Chrome Board Members Refractor #B2,Insert,,Blackhawks
Martin Brodeur,1998-99 O-Pee-Chee Chrome Seasons Best #SB2,Insert,,Devils
John LeClair,1998-99 O-Pee-Chee Chrome Seasons Best Refractor #SB16,Insert,,Flyers
Adam Oates,1998-99 O-Pee-Chee Chrome Seasons Best Refractor #SB23,Insert,,Capitals
Jason Allison,1998-99 O-Pee-Chee Chrome Seasons Best Refractor #SB27,Insert,,Bruins
John LeClair,1998-99 O-Pee-Chee Chrome Seasons Best Refractor #SB28,Insert,,Flyers
Jeff Hackett,1998-99 O-Pee-Chee Chrome Seasons Best Refractor #SB5,Insert,,Blackhawks
Peter Forsberg,1998-99 Pacific Aurora Championship Fever #11,Insert,,Avalanche
Joe Sakic,1998-99 Pacific Aurora Championship Fever #13,Insert,,Avalanche
Sergei Fedorov,1998-99 Pacific Aurora Championship Fever #16,Insert,,Red Wings
Teemu Selanne,1998-99 Pacific Aurora Championship Fever #2,Insert,,Mighty Ducks
Eric Lindros,1998-99 Pacific Aurora Championship Fever #36,Insert,,Flyers
Jaromir Jagr,1998-99 Pacific Aurora Championship Fever #40,Insert,,Penguins
Mark Messier,1998-99 Pacific Aurora Championship Fever #48,Insert,,Canucks
Mark Recchi,1998-99 Pacific Aurora Championship Fever Blue #25,Insert,044/100,Canadiens
Dino Ciccarelli,1998-99 Pacific Aurora Championship Fever Red #22,Insert,,Panthers
Todd Bertuzzi,1998-99 Pacific Aurora Championship Fever Red #39,Insert,,Penguins
Peter Forsberg,1998-99 Pacific Aurora Championship Fever Silver #11,Insert,085/250,Avalanche
Peter Forsberg,1998-99 Pacific Aurora Man Advantage Cel-Fusions #5,Insert,,Avalanche
Wayne Gretzky,1998-99 Pacific Dynagon Ice #121,Base,,Rangers
Paul Kariya,1998-99 Pacific Dynagon Ice Insert #1,Insert,,Mighty Ducks
Saku Koivu,1998-99 Pacific Dynagon Ice Insert #11,Insert,,Canadiens
Jaromir Jagr,1998-99 Pacific Dynagon Ice Insert #16,Insert,,Penguins
Teemu Selanne,1998-99 Pacific Dynagon Ice Insert #2,Insert,,Mighty Ducks
Paul Kariya,1998-99 Pacific Dynagon Ice Team Checklist #1,Insert,,Mighty Ducks
Teemu Selanne,1998-99 Pacific Ice Blue #8,Parallel,,Mighty Ducks
Toronto Maple Leafs Team,1998-99 Pacific Omega #251,Base,,Maple Leafs
Steve Yzerman,1998-99 Pacific Omega Prism #10,Insert,,Red Wings
Pavel Bure,1998-99 Pacific Omega Prism #11,Insert,,Panthers
John LeClair,1998-99 Pacific Omega Prism #15,Insert,,Flyers
Keith Tkachuk,1998-99 Pacific Omega Prism #17,Insert,,Coyotes
Jaromir Jagr,1998-99 Pacific Omega Prism #18,Insert,,Penguins
Mats Sundin,1998-99 Pacific Omega Prism #19,Insert,,Maple Leafs
Mark Messier,1998-99 Pacific Omega Prism #20,Insert,,Canucks
Patrick Roy,1998-99 Pacific Omega Prism #5,Insert,,Avalanche
Sergei Fedorov,1998-99 Pacific Omega Prism #8,Insert,,Red Wings
